companyName,firstName,lastName,title,website,industry,employeeCount,headquarters
Gravity Global Minneapolis,Agency,Contact,Managing Director,https://www.gravityglobal.com,ENTERTAINMENT_MEDIA,ENTERPRISE_1001_5000,Minneapolis MN
3M,Main,Contact,Media Director,https://www.3m.com,TECHNOLOGY,MEGA_5000_PLUS,St. Paul MN
Allianz,Main,Contact,Media Director,https://www.allianz.com,FINANCIAL_SERVICES,MEGA_5000_PLUS,Munich
Hungry Howie's,Main,Contact,Media Director,https://www.hungryhowies.com,CPG_FOOD_BEVERAGE,MEGA_5000_PLUS,Madison Heights MI
NVIDIA,Main,Contact,Media Director,https://www.nvidia.com,TECHNOLOGY,MEGA_5000_PLUS,Santa Clara CA
